,Genes,Norm_Symbol,Phosphosite_hu_no
3388,MATK,MATK,10
3389,CTLA4,CTLA4,4
3390,THEM4,THEM4,4
3391,CTNNA1,CTNNA1,55
3392,CTNNA2,CTNNA2,20
3393,CTNNA3,CTNNA3,14
3394,CTNNAL1,CTNNAL1,10
3395,CTNNB1,CTNNB1,49
3396,CTNNBIP1,CTNNBIP1,3
3397,CTNNBL1,CTNNBL1,9
3398,CTNND1,CTNND1,164
3399,CTNND2,CTNND2,45
3400,JUP,JUP,45
3401,CTNS,CTNS,4
3402,CTPS1,CTPS1,29
3403,CTPS2,CTPS2,14
3404,CTRB1,CTRB1,1
3405,CTRB2,CTRB2,5
3406,CTRL,CTRL,1
3407,CTSA,CTSA,4
3408,CTSB,CTSB,6
3409,CTSC,CTSC,9
3410,CTSD,CTSD,11
3411,CTSE,CTSE,1
3412,CTSF,CTSF,4
3413,CTSG,CTSG,1
3414,CTSH,CTSH,4
3415,CTSK,CTSK,2
3416,CTSL,CTSL,3
3417,CTSV,CTSV,1
3418,CTSO,CTSO,1
3419,CTSS,CTSS,7
3420,CTSZ,CTSZ,1
3421,CTTNBP2,CTTNBP2,17
3422,CTTNBP2NL,CTTNBP2NL,34
3423,CTU2,CTU2,6
3424,CTXN1,CTXN1,3
3425,CTXN3,CTXN3,2
3426,CUBN,CUBN,21
3427,CUEDC1,CUEDC1,14
3428,CUEDC2,CUEDC2,3
3429,CUL1,CUL1,5
3430,CUL2,CUL2,7
3431,CUL3,CUL3,20
3432,CUL4A,CUL4A,13
3433,CUL4B,CUL4B,73
3434,CUL5,CUL5,12
3435,CUL7,CUL7,19
3436,CUL9,CUL9,25
3437,CUTA,CUTA,3
3438,CUTC,CUTC,7
3439,CUX1,CUX1,76
3440,CUX2,CUX2,16
3441,CUZD1,CUZD1,3
3442,CWF19L1,CWF19L1,6
3443,CWF19L2,CWF19L2,30
3444,CWH43,CWH43,4
3445,CX3CL1,CX3CL1,3
3446,CX3CR1,CX3CR1,4
3447,CXADR,CXADR,24
3448,CXCL11,CXCL11,2
3449,CXCL12,CXCL12,3
3450,CXCL13,CXCL13,2
3451,CXCL14,CXCL14,2
3452,CXCL16,CXCL16,4
3453,CXCL5,CXCL5,1
3454,CXCL6,CXCL6,1
3455,CXCR3,CXCR3,1
3456,CXCR4,CXCR4,20
3457,CXCR5,CXCR5,1
3458,CXCR6,CXCR6,1
3459,CXORF1,TMEM187,1
3460,CXORF21,CXORF21,1
3461,CXORF23,BCLAF3,13
3462,CXORF36,DIPK2B,1
3463,CXORF38,CXORF38,5
3464,CXORF49,CXORF49,10
3465,CXORF51A,CXORF51A,2
3466,CXORF56,CXORF56,7
3467,CXORF57,RADX,10
3468,CXORF58,CXORF58,4
3469,CXORF66,CXORF66,3
3470,CXXC1,CXXC1,19
3471,CXXC4,CXXC4,2
3472,CXXC5,CXXC5,4
3473,CYB561,CYB561,3
3474,CYB561D1,CYB561D1,3
3475,CYB561D2,CYB561D2,2
3476,CYB5A,CYB5A,5
3477,CYB5B,CYB5B,6
3478,CYB5D1,CYB5D1,2
3479,CYB5D2,CYB5D2,2
3480,CYB5R1,CYB5R1,7
3481,CYB5R2,CYB5R2,3
3482,CYB5R3,CYB5R3,14
3483,CYB5R4,CYB5R4,7
3484,CYB5RL,CYB5RL,1
3485,CYBA,CYBA,6
3486,CYBB,CYBB,6
3487,CYBRD1,CYBRD1,11
3488,CYC1,CYC1,6
3489,CYCS,CYCS,10
3490,CYFIP1,CYFIP1,28
3491,CYFIP2,CYFIP2,16
3492,CYGB,CYGB,2
3493,CYHR1,CYHR1,6
3494,CYLC1,CYLC1,18
3495,CYLC2,CYLC2,9
3496,CYLD,CYLD,33
3497,CLIP2,CLIP2,38
3498,CYP11A1,CYP11A1,2
3499,CYP11B1,CYP11B1,4
3500,CYP11B2,CYP11B2,2
3501,CYP17A1,CYP17A1,5
3502,CYP19A1,CYP19A1,10
3503,CYP1A1,CYP1A1,3
3504,CYP1A2,CYP1A2,8
3505,CYP1B1,CYP1B1,1
3506,CYP20A1,CYP20A1,6
3507,CYP21A2,CYP21A2,3
3508,CYP24A1,CYP24A1,8
3509,CYP26A1,CYP26A1,2
3510,CYP26B1,CYP26B1,5
3511,CYP26C1,CYP26C1,3
3512,CYP27A1,CYP27A1,3
3513,CYP27C1,CYP27C1,1
3514,CYP2A13,CYP2A13,6
3515,CYP2A6,CYP2A6,12
3516,CYP2A7,CYP2A7,7
3517,CYP2B6,CYP2B6,1
3518,CYP2C18,CYP2C18,4
3519,CYP2C19,CYP2C19,4
3520,CYP2C8,CYP2C8,4
3521,CYP2C9,CYP2C9,7
3522,CYP2D6,CYP2D6,5
3523,CYP20.00,CYP20.00,19
3524,CYP2F1,CYP2F1,4
3525,CYP2J2,CYP2J2,8
3526,CYP2R1,CYP2R1,2
3527,CYP2S1,CYP2S1,9
3528,CYP2U1,CYP2U1,2
3529,CYP2W1,CYP2W1,2
3530,CYP39A1,CYP39A1,6
3531,CYP3A4,CYP3A4,18
3532,CYP3A43,CYP3A43,2
3533,CYP3A5,CYP3A5,8
3534,CYP3A7,CYP3A7,7
3535,CYP46A1,CYP46A1,5
3536,CYP4A11,CYP4A11,5
3537,CYP4A22,CYP4A22,10
3538,CYP4B1,CYP4B1,4
3539,CYP4F11,CYP4F11,4
3540,CYP4F12,CYP4F12,4
3541,CYP4F2,CYP4F2,3
3542,CYP4F22,CYP4F22,3
3543,CYP4F3,CYP4F3,1
3544,CYP4F30P,CYP4F30P,1
3545,CYP4F8,CYP4F8,6
3546,CYP4V2,CYP4V2,1
3547,CYP4X1,CYP4X1,2
3548,CYP4Z1,CYP4Z1,3
3549,CYP51A1,CYP51A1,14
3550,CYP7A1,CYP7A1,8
3551,CYP7B1,CYP7B1,9
3552,CYP8B1,CYP8B1,12
3553,CYR61,CCN1,8
3554,CYS1,CYS1,4
3555,CYSLTR1,CYSLTR1,8
3556,CYSRT1,CYSRT1,8
3557,CYSTM1,CYSTM1,1
3558,CYTL1,CYTL1,1
3559,CYTH1,CYTH1,3
