Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
LPP,68595438.03470752,41483815.88571268,54714470.57710864,34232126.322420605,34232126.322420605,34232126.322420605,34232126.322420605,LPP
LPPR2,66900900.62308337,7942206.065211088,41602145.10933199,23246890.844882954,23246890.844882954,23246890.844882954,23246890.844882954,LPPR2
LPPR3,36440305.369426064,9507351.601194644,9507351.601194644,10239496.86099091,10239496.86099091,10239496.86099091,10239496.86099091,LPPR3
LPPR4,108908502.82544468,64892391.98610378,25481390.322347734,620776238.8646859,34463739.49666318,34463739.49666318,34463739.49666318,LPPR4
LRCH1,10150263.592450533,10150263.592450533,10150263.592450533,9493763.710556794,9493763.710556794,9493763.710556794,9493763.710556794,LRCH1
LRCH3,57232525.29620223,10553522.339859288,10553522.339859288,387964081.41683125,10962435.610797897,433694883.49476326,474519272.49984,LRCH3
LRFN1,8216625.463842672,8216625.463842672,8216625.463842672,58958735.80562635,58958735.80562635,58958735.80562635,58958735.80562635,LRFN1
LRFN5,60455561.85223165,9299735.479236834,9299735.479236834,24234043.68910998,24234043.68910998,24234043.68910998,24234043.68910998,LRFN5
LRMP,8464843.161215814,8464843.161215814,8464843.161215814,15825256.791226553,15825256.791226553,15825256.791226553,15825256.791226553,LRMP
LRP1,2036288137.9026823,975021272.0287457,819970031.397242,2223427100.469032,1460013242.4772658,1576004082.2943773,2154960834.2504077,LRP1
LRP2,10611211.451888168,10611211.451888168,10611211.451888168,74984984.63189197,10764030.014913553,10764030.014913553,10764030.014913553,LRP2
LRP4,9187505.830483917,9187505.830483917,9187505.830483917,10225407.059638144,10225407.059638144,10225407.059638144,10225407.059638144,LRP4
LRP8,9801866.971952656,9801866.971952656,9801866.971952656,12421936.307371508,12421936.307371508,12421936.307371508,12421936.307371508,LRP8
LRPAP1,199172279.18490303,105897243.91677354,138344943.45926967,284354396.88320285,371218468.5164503,44584030.946592204,44584030.946592204,LRPAP1
LRPPRC,8285030453.391039,5136634771.258857,8108526421.703592,7038396540.999178,7020706379.198969,7296314365.043896,6716547302.592656,LRPPRC
LRRC10B,10106997.356257074,10106997.356257074,10106997.356257074,9698249.247437073,9698249.247437073,9698249.247437073,9698249.247437073,LRRC10B
LRRC14,9983811.180673817,9983811.180673817,9983811.180673817,9650944.692945104,9650944.692945104,9650944.692945104,9650944.692945104,LRRC14
LRRC16A,100376186.96011695,2467344.452466997,73963837.36831419,230417249.16628504,42719156.72069456,42719156.72069456,42719156.72069456,LRRC16A
LRRC16B,9622988.5556457,9622988.5556457,9622988.5556457,9436945.053902823,9436945.053902823,9436945.053902823,9436945.053902823,LRRC16B
LRRC20,39867612.67342807,50605186.56490938,49724299.1636093,26232966.623944957,26232966.623944957,26232966.623944957,26232966.623944957,LRRC20
LRRC40,1050182750.8142016,627232365.5513463,467026087.28853095,563486806.7402656,646860199.1044189,546236275.8554589,573446451.9507164,LRRC40
LRRC47,2493420249.8622193,2630331865.449602,2139112175.6762476,2371250280.662184,2300440615.007637,2465995659.835734,2128622272.4513984,LRRC47
LRRC4B,392890509.4535516,270507853.34474945,373064797.82317215,398829464.3259298,358277432.91446614,325090030.91955334,348751726.12457514,LRRC4B
LRRC57,483631567.228474,476099167.7474988,506718563.914063,548552024.4811785,392287415.3420104,382104498.8088546,591195455.5105923,LRRC57
LRRC59,1130860154.3433404,577269493.2456938,596041486.1505452,863226088.5758159,721588639.8810432,926726716.4397588,986908922.5360117,LRRC59
LRRC7,585943482.1954051,648709001.4229684,676025592.5513831,884252429.458065,3331499015.00388,1282151307.8598044,1105310980.858248,LRRC7
LRRC73,19199592.793645453,9764819.113626163,9764819.113626163,10365134.663341688,10365134.663341688,10365134.663341688,10365134.663341688,LRRC73
LRRC8A,357037488.2564474,314377632.7450827,258064086.53673023,348622200.88207865,353416671.21395475,226959461.15960956,342160455.97092813,LRRC8A
LRRC8B,9969023.569715803,9969023.569715803,9969023.569715803,9349418.113205042,9349418.113205042,9349418.113205042,9349418.113205042,LRRC8B
LRRC8C,10122396.540401226,10122396.540401226,10122396.540401226,9484646.464180432,9484646.464180432,9484646.464180432,9484646.464180432,LRRC8C
LRRFIP1,9042067.965015804,79499376.68807809,81830354.33009297,16109759.816955164,16109759.816955164,16109759.816955164,16109759.816955164,LRRFIP1
LRRFIP2,9859783.930056524,9859783.930056524,9859783.930056524,9431836.083060527,9431836.083060527,9431836.083060527,9431836.083060527,LRRFIP2
LRRN1,46465125.90705008,9965717.79635609,44651439.84984033,9882156.653219413,9882156.653219413,9882156.653219413,9882156.653219413,LRRN1
LRRTM1,8675303.04363386,8675303.04363386,8675303.04363386,17404652.182781752,113941760.49930748,17404652.182781752,17404652.182781752,LRRTM1
LRRTM2,49450606.25689661,9583842.794653766,9583842.794653766,11557411.47482857,11557411.47482857,11557411.47482857,11557411.47482857,LRRTM2
LRRTM3,8840523.599032579,8840523.599032579,8840523.599032579,9959477.281972816,9959477.281972816,9959477.281972816,9959477.281972816,LRRTM3
LRRTM4,18549604.3220518,9526836.124889323,59407202.0865387,11856157.261285713,11856157.261285713,11856157.261285713,11856157.261285713,LRRTM4
LRSAM1,489899643.25146633,303369733.53409964,233492985.6062705,441875691.72636116,157804621.49963006,243086022.20189187,382175615.2465332,LRSAM1
LSAMP,4634576792.654769,4546030485.915819,3923797955.8663263,3812896226.6720037,4108285525.459437,3457632502.330821,4516623824.127476,LSAMP
LSM1,44501027.87134668,41370119.301650174,45617667.58636316,33135280.570606954,33135280.570606954,33135280.570606954,33135280.570606954,LSM1
LSM14A,10218480.84817025,10218480.84817025,10218480.84817025,10877402.14515789,10877402.14515789,10877402.14515789,10877402.14515789,LSM14A
LSM14B,9992639.06179406,9992639.06179406,9992639.06179406,11322485.28669937,11322485.28669937,11322485.28669937,11322485.28669937,LSM14B
LSM2,114182784.57836992,113916635.34241667,71491414.9403777,337009667.8306043,261413179.6553992,56620161.13668432,56620161.13668432,LSM2
LSM3,11178656.562553227,11178656.562553227,11178656.562553227,10320905.559561582,10320905.559561582,10320905.559561582,10320905.559561582,LSM3
LSM4,10053706.05262182,10053706.05262182,10053706.05262182,11345209.898316298,11345209.898316298,88959069.11093624,85287837.62249571,LSM4
LSM5,26338007.37867071,9633465.965906227,9633465.965906227,12447148.445394192,12447148.445394192,12447148.445394192,12447148.445394192,LSM5
LSM6,52596839.17950267,9044969.813654153,9044969.813654153,16197062.11150259,16197062.11150259,16197062.11150259,980840688.0199988,LSM6
LSM7,9678630.46071572,9678630.46071572,9678630.46071572,11891130.584022807,11891130.584022807,11891130.584022807,11891130.584022807,LSM7
LSM8,80771283.52534941,103767898.6857609,7655985.231330543,23759979.023916025,23759979.023916025,23759979.023916025,23759979.023916025,LSM8
LSS,213597175.32491827,176854502.37803563,131045601.95740308,20978058.93652545,403959964.90709984,185840360.0064089,244498148.77583843,LSS
