,Node1,Node2
926,SHANK3,EPB41L3
927,SHANK3,ERC2
928,SHANK3,GNB1
929,SHANK3,GRIN1
930,SHANK3,GRIN2A
931,SHANK3,GRIN2B
932,SHANK3,GRM3
933,SHANK3,GRM5
934,SHANK3,GSK3B
935,SHANK3,HCN1
936,SHANK3,HCN2
937,SHANK3,HOMER1
938,SHANK3,HOMER2
939,SHANK3,HOMER3
940,SHANK3,INA
941,SHANK3,IQSEC1
942,SHANK3,IQSEC2
943,SHANK3,KALRN
944,SHANK3,KIF21A
945,SHANK3,KIF5C
946,SHANK3,LRRC7
947,SHANK3,MACF1
948,SHANK3,MAP2K4
949,SHANK3,MAP3K5
950,SHANK3,MAPK1
951,SHANK3,MAPK3
952,SHANK3,MPP2
953,SHANK3,MYO5A
954,SHANK3,NCKAP1
955,SHANK3,NEFL
956,SHANK3,NEFM
957,SHANK3,NFASC
958,SHANK3,NRCAM
959,SHANK3,PLCB1
960,SHANK3,PPIA
961,SHANK3,PPP1CC
962,SHANK3,PPP1R9A
963,SHANK3,PPP3CA
964,SHANK3,PPP3CB
965,SHANK3,PRKCA
966,SHANK3,PRKCB
967,SHANK3,PRKCE
968,SHANK3,PRKCG
969,SHANK3,RAC1
970,SHANK3,RAP1A
971,SHANK3,RAPGEF2
972,SHANK3,RAPGEF4
973,SHANK3,ROCK2
974,SHANK3,RPS6KA2
975,SHANK3,SEPT3
976,SHANK3,SEPT7
977,SHANK3,SHANK1
978,SHANK3,SHANK2
979,SHANK3,SIRPA
980,SHANK3,SLK
981,SHANK3,SNAP91
982,SHANK3,SPNA2
983,SHANK3,SPNB4
984,SHANK3,SPTBN1
985,SHANK3,SPTBN2
986,SHANK3,SRC
987,SHANK3,SYNGAP1
988,SHANK3,SYNPO
989,SHANK3,TAOK2
990,SHANK3,TLN2
991,SHANK3,TNIK
